shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.65606698,-73.66743954,539
1,40.65617846,-73.66673375,540
1,40.6562896,-73.66602786,541
1,40.65640025,-73.66532183,542
1,40.65651097,-73.66461583,543
1,40.65662265,-73.66391008,544
1,40.65673409,-73.66320427,545
1,40.65684552,-73.66249845,546
1,40.65695697,-73.66179264,547
1,40.65706853,-73.66108686,548
1,40.65717992,-73.66038102,549
1,40.65729047,-73.65967497,550
1,40.65740127,-73.65896897,551
1,40.65751307,-73.65826325,552
1,40.65762433,-73.65755738,553
1,40.65773525,-73.65685141,554
1,40.65784634,-73.65614549,555
1,40.65795746,-73.65543958,556
1,40.65806798,-73.6547335,557
1,40.65817443,-73.65402638,558
1,40.65826501,-73.65331552,559
1,40.65833595,-73.65260082,560
1,40.65839005,-73.65188359,561
1,40.65842349,-73.65116419,562
1,40.65843753,-73.65044371,563
1,40.65843304,-73.64972295,564
1,40.6584194,-73.64900234,565
1,40.65840345,-73.64828181,566
1,40.65838756,-73.64756127,567
1,40.65836383,-73.64684117,568
1,40.6583328,-73.64612148,569
1,40.65829982,-73.64540198,570
1,40.658254,-73.6446837,571
1,40.65820818,-73.64396539,572
1,40.65816719,-73.64324657,573
1,40.6581297,-73.64252744,574
1,40.65809826,-73.64180778,575
1,40.6580657,-73.64108822,576
1,40.65803302,-73.64036866,577
1,40.65800221,-73.63964896,578
1,40.65797126,-73.63892927,579
1,40.65793915,-73.63820967,580
1,40.65790787,-73.63749,581
1,40.65787664,-73.63677034,582
1,40.65784494,-73.63605071,583
1,40.65781185,-73.63533119,584
1,40.65778176,-73.63461144,585
1,40.657751,-73.63389174,586
1,40.65771847,-73.63317218,587
1,40.65768622,-73.63245259,588
1,40.65765606,-73.63173285,589
1,40.6576263,-73.63101308,590
1,40.657598,-73.6302932,591
1,40.65757085,-73.62957326,592
1,40.65754481,-73.62885324,593
1,40.65751854,-73.62813323,594
1,40.65749251,-73.62741321,595
1,40.65746684,-73.62669317,596
1,40.65744123,-73.62597312,597
1,40.65741563,-73.62525308,598
1,40.65739003,-73.62453303,599
1,40.65736459,-73.62381298,600
1,40.65733963,-73.62309289,601
1,40.6573147,-73.62237281,602
1,40.65728982,-73.62165272,603
1,40.65726499,-73.62093263,604
1,40.65724013,-73.62021254,605
1,40.65721513,-73.61949246,606
1,40.6571901,-73.61877238,607
1,40.65716414,-73.61805236,608
1,40.65713726,-73.6173324,609
1,40.65710831,-73.61661259,610
1,40.6570741,-73.61589317,611
1,40.65703962,-73.61517376,612
1,40.65700518,-73.61445436,613
1,40.65697084,-73.61373494,614
1,40.65693652,-73.61301553,615
1,40.65690273,-73.61229607,616
1,40.65686921,-73.61157659,617
1,40.65683888,-73.61085691,618
1,40.65681824,-73.61013661,619
1,40.65680356,-73.60941608,620
1,40.65679627,-73.60869533,621
1,40.65679187,-73.60797453,622
1,40.65678617,-73.60725375,623
1,40.65677357,-73.60653315,624
1,40.65675623,-73.60581269,625
1,40.65673889,-73.60509222,626
1,40.65672275,-73.60437172,627
1,40.65670842,-73.60365114,628
1,40.65670036,-73.60293042,629
1,40.65669495,-73.60220963,630
1,40.65668957,-73.60148884,631
1,40.65668426,-73.60076806,632
1,40.656679,-73.60004727,633
1,40.65667416,-73.59932647,634
1,40.65666938,-73.59860568,635
1,40.65666413,-73.59788489,636
1,40.65665866,-73.5971641,637
1,40.65665359,-73.59644331,638
1,40.65665289,-73.59572251,639
1,40.65666039,-73.59500179,640
1,40.65667588,-73.59428129,641
1,40.65670193,-73.5935613,642
1,40.65673161,-73.59284154,643
1,40.65676482,-73.59212204,644
1,40.65679805,-73.59140253,645
1,40.65683123,-73.59068303,646
1,40.65686463,-73.58996354,647
1,40.65689907,-73.58924414,648
1,40.65693287,-73.58852468,649
1,40.65696627,-73.58780519,650
1,40.65700508,-73.58708619,651
1,40.6570523,-73.58636806,652
1,40.65710786,-73.58565099,653
1,40.65717648,-73.58493583,654
1,40.65725046,-73.58422161,655
1,40.65733523,-73.58350947,656
1,40.65743025,-73.58279955,657
