"Indicator.Name","Period.Month","Period.Year","YTD.Target","YTD.Actual","Monthly.Target","Monthly.Actual","Period","Month_Name"
"Far Rockaway",11,2009,0,98.1,0,98.6,"2009-11","November"
"Far Rockaway",10,2009,0,98.1,0,98.1,"2009-10","October"
"Far Rockaway",9,2009,0,98.1,0,98.3,"2009-09","September"
"Far Rockaway",8,2009,0,98.1,0,98,"2009-08","August"
"Far Rockaway",7,2009,0,98.1,0,98,"2009-07","July"
"Far Rockaway",6,2009,0,98.1,0,98.5,"2009-06","June"
"Far Rockaway",5,2009,0,98,0,98.7,"2009-05","May"
"Far Rockaway",4,2009,0,97.8,0,98.5,"2009-04","April"
"Far Rockaway",3,2009,0,97.6,0,96.1,"2009-03","March"
"Far Rockaway",2,2009,0,98.4,0,97.5,"2009-02","February"
"Far Rockaway",1,2009,0,99.2,0,99.2,"2009-01","January"
"Far Rockaway",12,2008,0,97.8,0,98.5,"2008-12","December"
"Far Rockaway",11,2008,0,97.7,0,95.2,"2008-11","November"
"Far Rockaway",10,2008,0,97.9,0,98.2,"2008-10","October"
"Far Rockaway",9,2008,0,97.9,0,97.5,"2008-09","September"
"Far Rockaway",8,2008,0,97.9,0,98.8,"2008-08","August"
"Far Rockaway",7,2008,0,97.8,0,98.4,"2008-07","July"
"Far Rockaway",6,2008,0,97.7,0,97.7,"2008-06","June"
